,age,sex,decile_score,priors_count,race,days_in_jail,c_days_from_compas,is_violent_recid,v_decile_score,is_recid
0,69,1,1,0,Other,0.0,1.0,0,1,0
1,69,1,1,0,Other,0.0,1.0,0,1,0
2,31,1,5,0,Caucasian,0.0,1.0,0,2,-1
3,34,1,3,0,African-American,10.0,1.0,1,1,1
4,24,1,4,4,African-American,1.0,1.0,0,3,1
5,24,1,4,4,African-American,1.0,1.0,0,3,1
6,24,1,4,4,African-American,1.0,1.0,0,3,1
7,24,1,4,4,African-American,1.0,1.0,0,3,1
8,24,1,4,4,African-American,1.0,1.0,0,3,1
9,23,1,8,1,African-American,0.0,1.0,0,6,0
10,43,1,1,2,Other,0.0,76.0,0,1,0
11,44,1,1,0,Other,1.0,0.0,0,1,0
12,41,1,6,14,Caucasian,6.0,1.0,0,2,1
13,41,1,6,14,Caucasian,6.0,1.0,0,2,1
14,43,1,4,3,Other,0.0,1.0,0,3,0
15,43,1,4,3,Other,0.0,1.0,0,3,0
16,43,1,4,3,Other,0.0,1.0,0,3,0
17,39,0,1,0,Caucasian,2.0,1.0,0,1,0
18,20,1,10,0,Caucasian,33.0,1.0,0,9,0
19,20,1,10,0,Caucasian,33.0,1.0,0,9,0
20,20,1,10,0,Caucasian,33.0,1.0,0,9,0
21,26,0,5,0,Caucasian,1.0,1.0,0,3,0
22,26,0,5,0,Caucasian,1.0,1.0,0,3,0
23,26,0,5,0,Caucasian,1.0,1.0,0,3,0
24,21,1,3,1,Caucasian,0.0,308.0,1,5,1
25,27,1,4,0,Caucasian,1.0,1.0,0,4,0
26,23,1,6,3,African-American,4.0,0.0,0,4,1
27,37,0,1,0,Caucasian,0.0,0.0,0,1,0
28,22,1,3,0,Caucasian,0.0,0.0,0,5,0
29,41,1,4,0,African-American,0.0,1.0,0,2,0
30,47,0,1,1,Caucasian,14.0,490.0,0,1,1
31,47,0,1,1,Caucasian,14.0,490.0,0,1,1
32,31,1,3,7,African-American,3.0,71.0,0,2,1
33,31,1,3,7,African-American,3.0,71.0,0,2,1
34,37,1,1,0,Hispanic,0.0,0.0,0,1,0
35,25,1,10,3,African-American,1.0,1.0,0,9,0
36,25,1,10,3,African-American,1.0,1.0,0,9,0
37,31,1,5,6,Caucasian,1.0,1.0,1,4,1
38,31,1,3,5,Caucasian,1.0,1.0,0,2,1
39,31,1,3,5,Caucasian,1.0,1.0,0,2,1
40,31,1,3,5,Caucasian,1.0,1.0,0,2,1
41,64,1,6,13,African-American,1.0,1.0,0,3,1
42,64,1,6,13,African-American,1.0,1.0,0,3,1
43,64,1,6,13,African-American,1.0,1.0,0,3,1
44,21,1,9,1,African-American,3.0,1.0,0,9,1
45,21,1,9,1,African-American,3.0,1.0,0,9,1
46,21,1,9,1,African-American,3.0,1.0,0,9,1
47,21,1,9,1,African-American,3.0,1.0,0,9,1
48,21,1,9,1,African-American,3.0,1.0,0,9,1
49,21,1,9,1,African-American,3.0,1.0,0,9,1
50,27,1,2,0,Caucasian,0.0,0.0,0,3,1
51,21,0,4,0,Caucasian,1.0,2.0,0,5,0
52,24,1,-1,2,African-American,1.0,0.0,0,6,1
53,24,1,-1,2,African-American,1.0,0.0,0,6,1
54,24,1,-1,2,African-American,1.0,0.0,0,6,1
55,24,1,-1,2,African-American,1.0,0.0,0,6,1
56,24,1,-1,2,African-American,1.0,0.0,0,6,1
57,24,1,4,1,Hispanic,0.0,1.0,0,5,1
58,42,1,3,1,Caucasian,104.0,133.0,0,1,0
59,43,1,1,1,Caucasian,1.0,1.0,0,2,0
60,32,1,3,0,Other,1.0,1.0,0,4,0
61,54,0,9,0,African-American,110.0,1.0,0,5,0
62,44,1,6,8,African-American,0.0,4296.0,0,4,0
63,49,0,1,0,Caucasian,0.0,1.0,0,1,-1
64,27,1,3,8,African-American,17.0,1.0,1,3,1
65,27,1,3,8,African-American,17.0,1.0,1,3,1
66,27,1,3,8,African-American,17.0,1.0,1,3,1
67,27,1,3,8,African-American,17.0,1.0,1,3,1
68,36,0,3,3,Caucasian,0.0,95.0,0,1,0
69,36,0,3,3,Caucasian,0.0,95.0,0,1,0
70,26,1,7,5,African-American,0.0,1.0,0,7,1
71,26,1,7,5,African-American,0.0,1.0,0,7,1
72,26,1,7,5,African-American,0.0,1.0,0,7,1
73,33,1,10,0,African-American,37.0,1.0,1,6,1
74,33,1,10,0,African-American,37.0,1.0,1,6,1
75,30,1,9,9,Caucasian,44.0,0.0,0,10,1
76,30,1,9,9,Caucasian,44.0,0.0,0,10,1
77,32,1,8,4,African-American,1.0,1.0,0,3,1
78,32,1,8,4,African-American,1.0,1.0,0,3,1
79,63,1,1,0,African-American,1.0,1.0,0,1,0
80,27,1,3,2,Hispanic,0.0,1.0,0,3,0
81,55,1,1,0,Caucasian,2.0,1.0,0,1,0
82,29,1,8,0,Caucasian,0.0,1.0,0,6,-1
83,32,1,10,15,African-American,92.0,0.0,0,8,0
84,38,1,3,5,African-American,165.0,1.0,0,4,0
85,38,1,3,5,African-American,165.0,1.0,0,4,0
86,38,1,3,5,African-American,165.0,1.0,0,4,0
87,53,1,5,19,Caucasian,5.0,1.0,0,2,0
88,53,1,5,19,Caucasian,5.0,1.0,0,2,0
89,49,1,3,7,Other,3.0,0.0,0,2,1
90,49,1,3,7,Other,3.0,0.0,0,2,1
91,49,1,3,7,Other,3.0,0.0,0,2,1
92,26,1,8,6,Caucasian,12.0,382.0,0,8,0
93,26,1,8,6,Caucasian,12.0,382.0,0,8,0
94,26,1,8,6,Caucasian,12.0,382.0,0,8,0
95,33,0,5,4,Caucasian,11.0,1.0,0,2,1
96,33,0,5,4,Caucasian,11.0,1.0,0,2,1
97,33,0,5,4,Caucasian,11.0,1.0,0,2,1
98,33,0,5,4,Caucasian,11.0,1.0,0,2,1
99,24,1,2,1,Caucasian,1.0,0.0,0,3,1
100,24,1,2,1,Caucasian,1.0,0.0,0,3,1
101,34,1,9,21,African-American,33.0,0.0,0,6,1
102,34,1,9,21,African-American,33.0,0.0,0,6,1
103,34,1,9,21,African-American,33.0,0.0,0,6,1
104,34,1,9,21,African-American,33.0,0.0,0,6,1
105,29,1,2,0,Caucasian,1.0,1.0,0,2,0
106,21,0,8,2,African-American,79.0,1.0,0,8,0
107,21,0,8,2,African-American,79.0,1.0,0,8,0
108,21,0,8,2,African-American,79.0,1.0,0,8,0
109,21,0,8,2,African-American,79.0,1.0,0,8,0
110,51,1,1,2,African-American,1.0,1.0,0,1,0
111,36,1,1,0,African-American,0.0,1.0,0,1,-1
112,29,1,2,2,Caucasian,0.0,1.0,0,2,1
113,29,1,2,2,Caucasian,0.0,1.0,0,2,1
114,25,1,6,0,African-American,271.0,1.0,0,7,0
115,25,1,6,0,African-American,271.0,1.0,0,7,0
116,51,0,2,7,African-American,1.0,1.0,0,2,0
117,51,0,2,7,African-American,1.0,1.0,0,2,0
118,28,1,7,8,Caucasian,1.0,0.0,0,4,0
119,36,1,9,22,African-American,197.0,1.0,0,10,0
120,36,1,9,22,African-American,197.0,1.0,0,10,0
121,29,1,7,0,African-American,0.0,0.0,0,2,1
122,29,1,7,0,African-American,0.0,0.0,0,2,1
123,29,1,7,0,African-American,0.0,0.0,0,2,1
124,29,1,1,0,Other,1.0,2.0,0,2,0
125,25,1,10,9,Caucasian,6.0,1.0,1,9,1
126,35,1,8,13,African-American,0.0,1.0,1,3,1
127,49,1,1,0,Caucasian,0.0,0.0,0,1,0
128,34,1,3,4,African-American,51.0,59.0,0,2,1
129,29,1,4,0,African-American,0.0,1.0,0,3,0
130,29,1,2,1,Caucasian,0.0,24.0,0,2,1
131,29,1,2,1,Caucasian,0.0,24.0,0,2,1
132,28,0,2,0,Other,0.0,1.0,0,2,0
133,51,1,2,0,Caucasian,24.0,1.0,0,1,0
134,25,1,3,0,Caucasian,0.0,0.0,0,3,0
135,48,1,6,20,Caucasian,10.0,562.0,0,4,1
136,48,1,6,20,Caucasian,10.0,562.0,0,4,1
137,48,1,6,20,Caucasian,10.0,562.0,0,4,1
138,33,1,9,1,Caucasian,0.0,0.0,0,10,0
139,33,1,9,1,Caucasian,0.0,0.0,0,10,0
140,63,0,1,1,Hispanic,8.0,219.0,0,1,0
141,30,1,6,3,African-American,1.0,1.0,0,4,0
142,31,1,5,15,African-American,135.0,1.0,0,7,1
143,24,1,4,2,African-American,1.0,1.0,0,4,1
144,24,1,4,2,African-American,1.0,1.0,0,4,1
145,24,1,4,2,African-American,1.0,1.0,0,4,1
146,27,1,5,0,African-American,0.0,1.0,0,3,0
147,32,1,8,3,Caucasian,1.0,1.0,0,2,0
148,30,1,7,0,Hispanic,23.0,0.0,0,3,0
149,49,1,1,4,African-American,0.0,1.0,0,1,0
150,53,1,5,8,Caucasian,13.0,13.0,0,2,0
151,31,0,1,0,Hispanic,0.0,1.0,0,1,0
152,35,1,3,5,African-American,0.0,1.0,0,2,0
153,63,1,7,10,African-American,35.0,906.0,0,5,1
154,33,1,1,2,African-American,0.0,1.0,0,1,0
155,27,1,10,15,African-American,1.0,1.0,0,9,1
156,27,1,10,15,African-American,1.0,1.0,0,9,1
157,27,1,10,15,African-American,1.0,1.0,0,9,1
158,38,1,2,4,Caucasian,1.0,1.0,0,2,1
159,46,1,6,9,Caucasian,1.0,1.0,0,3,0
160,46,1,6,9,Caucasian,1.0,1.0,0,3,0
161,22,1,4,1,African-American,1.0,1.0,0,6,1
162,34,0,1,0,Caucasian,0.0,0.0,0,1,0
163,22,1,10,2,African-American,124.0,114.0,0,9,1
164,22,1,10,2,African-American,124.0,114.0,0,9,1
165,22,1,10,2,African-American,124.0,114.0,0,9,1
166,29,1,9,4,African-American,18.0,1.0,0,5,1
167,29,1,9,4,African-American,18.0,1.0,0,5,1
168,29,1,9,4,African-American,18.0,1.0,0,5,1
169,29,1,9,4,African-American,18.0,1.0,0,5,1
170,62,1,1,0,Hispanic,1.0,1.0,0,1,0
171,27,1,6,6,African-American,30.0,0.0,0,3,1
172,27,1,6,6,African-American,30.0,0.0,0,3,1
173,27,1,6,6,African-American,30.0,0.0,0,3,1
174,33,1,1,0,Other,1.0,1.0,0,1,0
175,56,0,1,0,African-American,3.0,1.0,0,1,0
176,45,1,1,6,Hispanic,241.0,1.0,1,1,1
177,45,1,1,6,Hispanic,241.0,1.0,1,1,1
178,22,1,4,1,Hispanic,1.0,1.0,0,6,0
179,31,0,3,2,Caucasian,0.0,1.0,0,2,0
180,34,1,4,0,African-American,419.0,0.0,0,4,0
181,39,1,4,1,African-American,4.0,1.0,0,2,0
182,24,1,6,4,African-American,0.0,1.0,0,4,0
183,29,1,6,5,African-American,1.0,0.0,0,3,1
184,29,1,6,5,African-American,1.0,0.0,0,3,1
185,29,1,6,5,African-American,1.0,0.0,0,3,1
186,29,1,6,5,African-American,1.0,0.0,0,3,1
187,29,1,6,5,African-American,1.0,0.0,0,3,1
188,27,1,6,1,Caucasian,14.0,1.0,0,3,1
189,27,1,6,1,Caucasian,14.0,1.0,0,3,1
190,27,1,6,1,Caucasian,14.0,1.0,0,3,1
191,27,1,6,1,Caucasian,14.0,1.0,0,3,1
192,41,1,2,0,African-American,0.0,1.0,0,1,-1
193,24,0,4,1,Hispanic,1.0,325.0,0,2,0
194,40,1,2,2,African-American,3.0,15.0,0,1,0
195,51,1,1,1,African-American,55.0,78.0,0,1,0
196,51,1,1,1,African-American,55.0,78.0,0,1,0
197,22,1,3,1,African-American,16.0,1.0,0,3,1
198,22,1,3,1,African-American,16.0,1.0,0,3,1
199,22,1,3,1,African-American,16.0,1.0,0,3,1
200,22,1,8,0,Caucasian,57.0,1.0,0,6,0
201,22,1,8,0,Caucasian,57.0,1.0,0,6,0
202,22,1,8,0,Caucasian,57.0,1.0,0,6,0
203,22,1,8,0,Caucasian,57.0,1.0,0,6,0
204,22,1,8,0,Caucasian,57.0,1.0,0,6,0
205,26,0,4,1,African-American,2.0,1.0,1,3,1
206,27,1,7,1,Caucasian,19.0,44.0,1,8,1
207,59,0,1,2,African-American,0.0,67.0,0,1,0
208,32,1,1,3,Caucasian,69.0,711.0,0,3,0
209,32,1,2,0,African-American,1.0,1.0,0,1,0
210,41,1,2,1,African-American,1.0,5185.0,0,2,0
211,50,1,1,0,Caucasian,0.0,1.0,0,1,0
212,30,1,10,8,African-American,1.0,1.0,1,9,1
213,30,1,10,8,African-American,1.0,1.0,1,9,1
214,30,1,10,8,African-American,1.0,1.0,1,9,1
215,66,1,9,0,African-American,1.0,1372.0,0,3,0
216,52,1,5,3,African-American,9.0,1.0,0,1,0
217,36,1,6,0,African-American,0.0,1.0,0,5,-1
218,22,1,6,3,Caucasian,1.0,7.0,0,5,0
